,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01012487,318,318,-,-,318,306,2,10,6,50,61,184,16,1,-
S01012488,496,496,-,-,496,483,5,8,22,91,205,176,2,-,-
S01012489,623,623,-,-,623,553,33,37,13,23,39,531,7,10,-
S01012490,649,648,-,1,652,606,16,30,9,19,33,542,14,34,1
S01012491,286,286,-,-,286,245,8,33,6,13,5,260,1,1,-
S01012492,521,520,-,1,524,490,12,22,10,19,24,455,12,4,-
S01012493,414,414,-,-,414,409,-,5,27,82,29,274,1,-,1
S01012494,389,389,-,-,389,383,-,6,3,173,200,13,-,-,-
S01012495,509,508,-,1,512,496,7,9,9,207,160,131,4,1,-
S01012496,323,323,-,-,323,314,-,9,39,191,84,9,-,-,-
S01012497,241,241,-,-,241,231,6,4,6,99,62,72,-,2,-
S01012498,366,366,-,-,366,343,4,19,16,174,67,109,-,-,-
S01012499,284,283,1,-,285,277,3,5,14,169,80,22,-,-,-
S01012500,232,232,-,-,232,217,8,7,8,47,66,110,1,-,-
S01012501,278,278,-,-,278,260,15,3,4,27,17,230,-,-,-
S01012502,380,380,-,-,380,360,13,7,12,75,26,266,1,-,-
S01012503,333,333,-,-,333,308,17,8,6,79,72,172,1,3,-
S01012504,304,304,-,-,304,282,15,7,30,95,56,120,2,1,-
S01012505,525,525,-,-,525,515,1,9,22,144,47,307,5,-,-
S01012506,249,249,-,-,249,241,-,8,79,59,34,66,6,5,-
S01012507,493,493,-,-,493,482,1,10,22,119,63,281,6,2,-
S01012508,407,407,-,-,407,399,-,8,46,143,45,172,1,-,-
S01012509,264,264,-,-,264,256,-,8,24,109,67,63,1,-,-
S01012510,385,385,-,-,385,381,-,4,29,229,49,78,-,-,-
S01012511,322,322,-,-,322,316,-,6,12,107,91,110,2,-,-
S01012512,293,293,-,-,293,286,-,7,64,102,8,119,-,-,-
S01012513,237,237,-,-,237,234,-,3,105,67,50,15,-,-,-
S01012514,393,393,-,-,393,392,-,1,88,211,64,29,-,1,-
S01012515,329,329,-,-,329,319,1,9,27,78,124,96,1,3,-
S01012516,304,304,-,-,304,301,-,3,47,168,61,24,1,3,-
S01012517,421,421,-,-,421,410,-,11,67,94,18,239,3,-,-
S01012518,286,286,-,-,286,277,3,6,53,85,73,54,17,4,-
S01012519,292,292,-,-,292,279,-,13,52,69,92,68,5,6,-
S01012520,361,361,-,-,361,345,13,3,64,123,50,80,44,-,-
S01012521,280,280,-,-,280,270,3,7,39,96,44,86,5,10,-
S01012522,370,370,-,-,370,360,6,4,150,144,30,26,19,1,-
S01012523,389,388,1,-,390,385,1,4,106,170,88,18,6,1,1
S01012524,479,479,-,-,479,467,2,10,101,229,34,103,11,1,-
S01012525,347,347,-,-,347,341,-,6,83,163,75,22,4,-,-
S01012526,344,344,-,-,344,334,1,9,166,140,11,24,3,-,-
S01012527,291,291,-,-,291,285,-,6,107,146,14,23,-,1,-
S01012528,342,342,-,-,342,337,-,5,15,163,117,46,1,-,-
S01012529,349,349,-,-,349,342,-,7,75,96,108,69,1,-,-
S01012530,407,407,-,-,407,400,-,7,150,197,40,19,-,1,-
S01012531,344,344,-,-,344,332,2,10,145,96,57,36,9,1,-
S01012532,360,360,-,-,360,348,1,11,113,92,125,26,4,-,-
S01012533,279,279,-,-,279,274,3,2,29,15,97,135,3,-,-
S01012534,301,301,-,-,301,288,1,12,37,66,64,129,4,1,-
S01012535,367,367,-,-,367,361,-,6,40,120,40,167,-,-,-
S01012536,320,320,-,-,320,312,1,7,77,138,66,39,-,-,-
S01012537,336,336,-,-,336,334,-,2,32,121,168,13,1,1,-
S01012538,492,492,-,-,492,476,1,15,111,102,128,120,6,2,23
S01012539,326,326,-,-,326,315,1,10,81,93,108,37,-,1,6
S01012540,313,313,-,-,313,299,1,13,25,142,90,53,2,1,-
S01012541,465,465,-,-,465,442,1,22,181,107,91,81,3,-,2
S01012542,387,387,-,-,387,380,1,6,135,106,128,18,-,-,-
S01012543,295,295,-,-,295,276,2,17,141,45,94,6,7,-,2
S01012544,349,349,-,-,349,341,-,8,148,75,102,20,2,1,1
S01012545,216,216,-,-,216,214,-,2,28,51,95,40,2,-,-
S01012546,336,336,-,-,336,322,4,10,100,33,188,15,-,-,-
S01012547,318,318,-,-,318,312,-,6,188,68,55,5,1,1,-
S01012548,405,405,-,-,405,394,3,8,200,111,67,21,6,-,-
S01012549,255,255,-,-,255,251,-,4,11,78,65,101,-,-,-
S01012550,350,350,-,-,350,345,-,5,54,142,62,89,1,2,-
S01012551,322,322,-,-,322,319,1,2,110,204,3,5,-,-,-
S01012552,358,358,-,-,358,352,-,6,252,83,12,11,-,-,-
S01012553,354,354,-,-,354,347,1,6,130,168,38,18,-,-,-
S01012554,194,194,-,-,194,190,1,3,47,107,37,3,-,-,-
S01012555,212,212,-,-,212,211,-,1,63,143,2,4,-,-,-
S01012556,223,223,-,-,223,221,1,1,153,57,4,7,1,1,-
S01012557,259,259,-,-,259,249,2,8,159,64,19,6,10,1,-
S01012558,285,285,-,-,285,279,2,4,17,84,110,72,1,1,-
S01012559,493,493,-,-,493,457,3,33,10,55,110,312,4,2,-
S01012560,272,272,-,-,272,264,-,8,54,54,118,46,-,-,-
S01012561,376,376,-,-,376,365,2,9,72,89,99,114,1,1,-
S01012562,458,458,-,-,458,434,4,20,27,48,75,306,2,-,-
S01012563,281,281,-,-,281,271,2,8,209,56,5,11,-,-,-
S01012564,380,380,-,-,380,373,-,7,123,197,14,31,15,-,-
S01012565,400,400,-,-,400,379,4,17,53,152,42,117,32,3,1
S01012566,483,483,-,-,483,445,13,25,31,39,35,299,36,43,-
S01012567,625,625,-,-,625,557,30,38,33,47,25,485,35,-,-
S01012568,291,291,-,-,291,281,1,9,37,148,21,48,37,-,-
S01012569,328,328,-,-,328,315,10,3,173,87,8,23,37,-,-
S01012570,221,221,-,-,221,197,14,10,124,38,41,12,2,-,4
S01012571,423,423,-,-,423,362,40,21,159,91,119,50,-,2,2
S01012572,241,241,-,-,241,224,4,13,119,71,34,12,2,3,-
S01012573,358,358,-,-,358,325,6,27,267,77,7,3,4,-,-
S01012574,377,377,-,-,377,359,-,18,259,65,20,32,1,-,-
S01012575,304,304,-,-,304,289,5,10,204,37,44,13,4,1,1
S01012576,393,393,-,-,393,370,2,21,171,61,55,60,19,27,-
S01012577,343,343,-,-,343,336,1,6,144,72,108,17,1,-,1
S01012578,474,474,-,-,474,463,1,10,209,107,61,83,2,12,-
S01012579,313,313,-,-,313,287,3,23,158,77,52,25,-,-,1
S01012580,343,343,-,-,343,325,5,13,222,59,55,2,3,2,-
S01012581,350,350,-,-,350,331,-,19,59,147,55,84,2,3,-
S01012582,384,384,-,-,384,365,1,18,226,118,25,14,1,-,-
S01012583,348,348,-,-,348,326,1,21,67,92,133,51,4,1,-
S01012584,333,333,-,-,333,331,-,2,135,95,77,23,-,-,3
S01012585,414,414,-,-,414,404,-,10,35,103,145,123,7,1,-
S01012586,328,328,-,-,328,313,1,14,135,67,101,8,14,3,-
S01012587,337,337,-,-,337,327,3,7,244,67,23,3,-,-,-
S01012588,265,265,-,-,265,256,2,7,138,49,75,3,-,-,-
S01012589,290,290,-,-,290,284,-,6,43,30,206,10,-,-,1
S01012590,388,388,-,-,388,371,-,17,55,97,140,90,2,4,-
S01012591,403,403,-,-,403,385,-,18,18,137,113,134,1,-,-
S01012592,218,218,-,-,218,215,-,3,173,28,9,1,3,3,1
S01012593,335,335,-,-,335,333,-,2,198,88,19,30,-,-,-
S01012594,214,214,-,-,214,212,-,2,56,102,15,39,1,1,-
S01012595,309,309,-,-,309,288,-,21,69,79,111,46,2,2,-
S01012596,352,352,-,-,352,347,-,5,49,124,76,102,1,-,-
S01012597,179,179,-,-,179,177,-,2,82,49,28,20,-,-,-
S01012598,306,306,-,-,306,302,-,4,127,96,18,65,-,-,-
S01012599,349,349,-,-,349,330,-,19,143,63,26,107,7,3,-
S01012600,315,314,1,-,316,308,-,8,101,165,17,32,1,-,-
S01012601,360,360,-,-,360,357,-,3,172,129,6,53,-,-,-
S01012602,339,339,-,-,339,329,1,9,32,85,20,181,3,18,-
S01012603,346,346,-,-,346,337,-,9,45,121,47,132,-,-,1
S01012604,277,277,-,-,277,275,-,2,55,27,192,3,-,-,-
S01012605,249,249,-,-,249,240,-,9,75,63,106,5,-,-,-
S01012606,252,252,-,-,252,249,-,3,205,43,1,2,1,-,-
S01012607,319,319,-,-,319,312,-,7,115,90,84,29,1,-,-
S01012608,366,366,-,-,366,358,1,7,81,99,179,6,-,1,-
S01012609,392,392,-,-,392,383,-,9,28,51,270,40,-,2,1
S01012610,431,431,-,-,431,425,1,5,48,88,82,212,-,1,-
S01012611,358,358,-,-,358,352,-,6,171,71,94,22,-,-,-
S01012612,302,302,-,-,302,294,-,8,80,114,91,17,-,-,-
S01012613,289,289,-,-,289,287,-,2,93,47,134,14,1,-,-
S01012614,470,470,-,-,470,455,-,15,138,157,48,101,9,17,-
S01012615,319,319,-,-,319,306,1,12,173,43,49,48,3,3,-
S01012616,397,397,-,-,397,384,-,13,222,64,77,31,1,1,1
S01012617,155,155,-,-,155,151,-,4,106,40,5,2,2,-,-
S01012618,213,213,-,-,213,209,-,4,103,36,56,16,-,1,1
S01012619,311,311,-,-,311,295,-,16,44,83,35,125,20,4,-
S01012620,334,334,-,-,334,325,1,8,218,48,15,38,14,1,-
S01012621,290,290,-,-,290,277,-,13,137,61,42,39,10,-,1
S01012622,348,348,-,-,348,341,-,7,87,107,116,34,2,1,1
S01012623,324,324,-,-,324,320,-,4,21,97,64,137,4,1,-
S01012624,349,349,-,-,349,334,-,15,10,63,174,77,4,21,-
S01012625,276,276,-,-,276,263,-,13,11,62,141,61,1,-,-
S01012626,223,223,-,-,223,216,-,7,107,68,32,15,1,-,-
S01012627,251,251,-,-,251,241,3,7,47,53,26,112,12,1,-
S01012628,345,345,-,-,345,334,1,10,258,33,19,22,10,3,-
S01012629,205,205,-,-,205,197,-,8,109,46,12,27,8,3,-
S01012630,537,537,-,-,537,508,-,29,99,47,58,269,21,43,-
S01012631,440,440,-,-,440,423,-,17,87,90,66,191,5,-,1
S01012632,313,313,-,-,313,304,-,9,222,54,26,8,3,-,-
S01012633,300,300,-,-,300,283,-,17,190,27,49,30,-,2,2
S01012634,354,354,-,-,354,339,2,13,57,67,89,89,3,-,49
S01012635,444,444,-,-,444,430,2,12,238,67,85,50,3,1,-
S01012636,253,253,-,-,253,250,-,3,137,64,46,4,-,1,1
S01012637,384,384,-,-,384,365,-,19,28,126,14,214,1,1,-
S01012638,430,430,-,-,430,406,1,23,108,93,133,84,9,3,-
S01012639,378,378,-,-,378,360,-,18,64,177,101,35,-,1,-
S01012640,479,479,-,-,479,439,-,40,66,186,138,85,2,1,1
S01012641,534,533,-,1,543,484,6,53,136,104,85,205,10,2,1
S01012642,391,391,-,-,391,380,-,11,13,50,180,146,1,1,-
S01012643,200,200,-,-,200,199,-,1,13,52,123,9,1,2,-
S01012644,312,312,-,-,312,301,1,10,45,69,90,106,2,-,-
S01012645,383,383,-,-,383,368,-,15,132,95,51,88,5,12,-
S01012646,422,422,-,-,422,405,-,17,216,123,21,61,1,-,-
S01012647,276,276,-,-,276,269,-,7,124,122,27,3,-,-,-
S01012648,234,234,-,-,234,229,-,5,14,18,198,4,-,-,-
S01012649,273,273,-,-,273,267,-,6,97,84,39,51,2,-,-
S01012650,284,284,-,-,284,266,-,18,122,109,21,30,1,1,-
S01012651,342,342,-,-,342,327,1,14,21,78,175,66,2,-,-
S01012652,434,434,-,-,434,431,1,2,233,140,7,53,1,-,-
S01012653,383,383,-,-,383,363,-,20,132,49,195,7,-,-,-
S01012654,335,335,-,-,335,326,-,9,188,63,52,30,2,-,-
S01012655,470,470,-,-,470,454,1,15,146,109,48,156,-,-,11
S01012656,408,408,-,-,408,405,1,2,33,39,285,49,1,-,1
S01012657,277,277,-,-,277,272,-,5,18,115,40,104,-,-,-
S01012658,437,437,-,-,437,424,-,13,100,235,81,19,2,-,-
S01012659,371,371,-,-,371,366,-,5,217,90,59,3,1,-,1
S01012660,336,336,-,-,336,326,-,10,51,137,93,55,-,-,-
S01012661,334,334,-,-,334,324,-,10,117,41,130,33,4,8,1
S01012662,389,389,-,-,389,370,-,19,35,36,124,192,1,1,-
S01012663,312,312,-,-,312,301,-,11,81,92,113,19,4,2,1
S01012664,478,478,-,-,478,462,-,16,68,100,154,132,13,10,1
S01012665,363,363,-,-,363,346,-,17,32,92,223,16,-,-,-
S01012666,347,347,-,-,347,337,-,10,14,99,225,8,-,-,1
S01012667,283,283,-,-,283,279,-,4,50,129,22,81,-,-,1
S01012668,358,358,-,-,358,347,-,11,14,98,139,106,1,-,-
S01012669,297,297,-,-,297,296,-,1,50,171,72,4,-,-,-
S01012670,303,303,-,-,303,295,-,8,85,111,101,3,3,-,-
S01012671,400,400,-,-,400,388,-,12,52,47,287,13,-,-,1
S01012672,365,365,-,-,365,361,-,4,14,64,200,87,-,-,-
S01012673,258,258,-,-,258,252,-,6,12,50,188,8,-,-,-
S01012674,251,251,-,-,251,240,-,11,15,34,153,49,-,-,-
S01012675,380,380,-,-,380,361,-,19,35,69,224,50,2,-,-
S01012676,313,313,-,-,313,307,-,6,24,67,219,3,-,-,-
S01012677,267,267,-,-,267,256,-,11,23,39,171,34,-,-,-
S01012678,272,272,-,-,272,268,-,4,28,233,9,1,-,-,1
S01012679,393,393,-,-,393,372,-,21,137,92,51,108,5,-,-
S01012680,215,215,-,-,215,210,-,5,123,52,33,7,-,-,-
S01012681,337,337,-,-,337,311,-,26,101,52,114,56,5,5,4
S01012682,332,332,-,-,332,315,-,17,134,65,98,24,3,8,-
S01012683,342,342,-,-,342,326,-,16,42,35,170,95,-,-,-
S01012684,228,228,-,-,228,219,1,8,45,99,46,36,2,-,-
S01012685,336,336,-,-,336,334,-,2,33,79,207,15,2,-,-
S01012686,446,446,-,-,446,434,1,11,163,106,41,97,31,8,-
S01012687,236,236,-,-,236,235,1,-,180,50,4,2,-,-,-
S01012688,500,500,-,-,500,449,2,49,44,58,62,245,55,36,-
S01012689,185,185,-,-,185,185,-,-,111,60,7,5,2,-,-
S01012690,202,202,-,-,202,202,-,-,65,127,5,4,-,1,-
S01012691,301,301,-,-,301,296,-,5,212,27,18,41,3,-,-
S01012692,340,340,-,-,340,334,-,6,54,114,64,102,5,1,-
S01012693,327,327,-,-,327,321,1,5,273,37,12,4,-,1,-
S01012694,201,201,-,-,201,200,-,1,58,44,95,4,-,-,-
S01012695,314,314,-,-,314,306,1,7,181,95,30,6,1,-,1
S01012696,283,283,-,-,283,272,2,9,203,42,23,2,-,-,13
S01012697,203,203,-,-,203,197,-,6,99,51,44,7,2,-,-
S01012698,345,345,-,-,345,339,-,6,201,43,77,21,3,-,-
S01012699,447,447,-,-,447,429,2,16,226,80,108,27,4,1,1
S01012700,328,328,-,-,328,320,-,8,184,73,47,22,-,2,-
S01012701,226,226,-,-,226,221,1,4,66,150,6,4,-,-,-
S01012702,270,270,-,-,270,254,-,16,85,100,28,57,-,-,-
S01012703,206,206,-,-,206,205,-,1,146,13,42,5,-,-,-
S01012704,333,333,-,-,333,329,-,4,8,61,213,48,2,-,1
S01012705,258,258,-,-,258,257,-,1,116,128,7,6,1,-,-
S01012706,301,301,-,-,301,297,-,4,16,63,189,32,1,-,-
S01012707,324,324,-,-,324,322,-,2,149,168,3,4,-,-,-
S01012708,335,335,-,-,335,332,-,3,25,45,55,206,3,-,1
S01012709,265,265,-,-,265,253,-,12,32,92,74,66,1,-,-
S01012710,364,364,-,-,364,356,-,8,57,71,26,209,1,-,-
S01012711,443,443,-,-,443,435,-,8,17,80,91,244,2,9,-
S01012712,337,337,-,-,337,335,-,2,194,135,4,4,-,-,-
S01012713,337,337,-,-,337,329,-,8,43,181,17,86,7,3,-
S01012714,265,265,-,-,265,264,-,1,111,102,12,35,5,-,-
S01012715,426,426,-,-,426,411,-,15,20,69,22,304,7,4,-
S01012716,382,382,-,-,382,369,2,11,194,85,6,97,-,-,-
S01012717,612,612,-,-,612,581,-,31,50,82,23,420,3,34,-
S01012718,511,511,-,-,511,489,6,16,29,90,19,338,34,1,-
S01012719,456,455,1,-,457,438,1,18,39,12,21,374,10,1,-
S01012720,335,335,-,-,335,318,1,16,38,4,2,269,4,18,-
S01012721,292,292,-,-,292,288,-,4,7,189,45,50,1,-,-
S01012722,426,426,-,-,426,413,-,13,4,107,5,308,-,2,-
S01012723,364,364,-,-,364,358,-,6,6,108,7,243,-,-,-
S01012724,426,426,-,-,426,412,1,13,18,99,43,264,2,-,-
S01012725,521,521,-,-,521,494,-,27,66,36,18,390,8,3,-
S01012726,287,287,-,-,287,283,-,4,10,119,87,67,1,3,-
S01012727,299,299,-,-,299,294,-,5,17,109,99,74,-,-,-
S01012728,342,341,1,-,343,339,-,4,11,79,61,188,4,-,-
S01012729,354,354,-,-,354,346,-,8,56,169,53,75,-,1,-
S01012730,270,270,-,-,270,266,-,4,8,12,167,83,-,-,-
S01012731,341,341,-,-,341,335,-,6,10,147,131,53,-,-,-
S01012732,292,292,-,-,292,292,-,-,17,25,235,15,-,-,-
S01012733,365,365,-,-,365,364,-,1,282,21,13,49,-,-,-
S01012734,199,199,-,-,199,198,-,1,169,20,7,2,-,-,1
S01012735,214,214,-,-,214,213,-,1,7,18,132,57,-,-,-
S01012736,379,379,-,-,379,376,-,3,40,208,83,47,-,-,1
S01012737,331,331,-,-,331,329,-,2,61,69,141,59,1,-,-
S01012738,258,258,-,-,258,255,-,3,32,76,103,46,1,-,-
S01012739,290,290,-,-,290,289,-,1,209,59,18,4,-,-,-
S01012740,310,310,-,-,310,308,-,2,220,39,33,18,-,-,-
S01012741,275,275,-,-,275,272,-,3,65,124,41,45,-,-,-
S01012742,277,277,-,-,277,276,-,1,122,139,12,4,-,-,-
S01012743,237,237,-,-,237,237,-,-,97,134,5,1,-,-,-
S01012744,281,281,-,-,281,277,2,2,87,161,22,11,-,-,-
S01012745,307,307,-,-,307,302,-,5,131,151,17,7,-,1,-
S01012746,314,314,-,-,314,311,-,3,81,115,102,15,1,-,-
S01012747,359,359,-,-,359,348,-,11,88,132,121,18,-,-,-
S01012748,377,377,-,-,377,369,-,8,9,102,138,127,1,-,-
S01012749,408,408,-,-,408,387,-,21,18,116,143,131,-,-,-
S01012750,357,357,-,-,357,336,-,21,11,57,153,136,-,-,-
S01012751,434,434,-,-,434,423,-,11,8,172,114,140,-,-,-
S01012752,387,387,-,-,387,375,1,11,67,68,193,57,-,2,-
S01012753,240,240,-,-,240,235,-,5,15,29,162,33,-,1,-
S01012754,261,261,-,-,261,255,-,6,24,94,121,19,3,-,-
S01012755,294,294,-,-,294,280,1,13,14,68,66,143,3,-,-
S01012756,276,276,-,-,276,271,-,5,28,98,59,85,5,1,-
S01012757,242,242,-,-,242,236,-,6,7,65,82,88,-,-,-
S01012758,274,274,-,-,274,274,-,-,51,54,132,31,1,5,-
S01012759,355,355,-,-,355,342,-,13,19,83,169,84,-,-,-
S01012760,436,436,-,-,436,424,-,12,33,95,93,213,2,-,-
S01012761,386,386,-,-,386,369,1,16,48,44,172,119,-,3,-
S01012762,317,317,-,-,317,315,-,2,55,33,200,27,2,-,-
S01012763,178,178,-,-,178,178,-,-,12,20,142,4,-,-,-
S01012764,354,354,-,-,354,348,1,5,34,57,223,38,-,2,-
S01012765,299,299,-,-,299,296,-,3,67,105,123,4,-,-,-
S01012766,360,360,-,-,360,358,-,2,63,79,209,9,-,-,-
S01012767,230,230,-,-,230,228,-,2,53,165,9,3,-,-,-
S01012768,295,295,-,-,295,291,-,4,82,199,9,5,-,-,-
S01012769,153,153,-,-,153,152,-,1,91,47,4,11,-,-,-
S01012770,422,422,-,-,422,408,1,13,59,74,167,117,1,3,1
S01012771,365,365,-,-,365,357,-,8,35,92,46,187,4,1,-
S01012772,290,290,-,-,290,285,-,5,12,40,233,5,-,-,-
S01012773,406,406,-,-,406,391,-,15,52,154,160,40,-,-,-
S01012774,421,421,-,-,421,408,-,13,34,116,71,196,1,3,-
S01012775,222,222,-,-,222,211,-,11,12,124,14,72,-,-,-
S01012776,369,369,-,-,369,359,-,10,3,69,181,115,1,-,-
S01012777,382,382,-,-,382,365,2,15,81,137,94,68,1,1,-
S01012778,312,312,-,-,312,295,-,17,17,134,74,86,1,-,-
S01012779,211,211,-,-,211,200,-,11,9,38,46,117,1,-,-
S01012780,360,360,-,-,360,346,-,14,16,71,39,230,4,-,-
S01012781,303,303,-,-,303,300,-,3,78,100,64,60,-,1,-
S01012782,319,319,-,-,319,313,-,6,6,78,14,220,-,1,-
S01012783,331,331,-,-,331,322,-,9,5,107,18,201,-,-,-
S01012784,400,400,-,-,400,391,-,9,16,74,83,226,1,-,-
S01012785,403,403,-,-,403,388,1,14,4,47,21,329,1,1,-
S01012786,438,437,-,1,440,423,1,16,5,13,13,405,1,3,-
S01012787,256,256,-,-,256,250,-,6,45,53,45,111,1,1,-
S01012788,263,263,-,-,263,259,-,4,22,162,49,30,-,-,-
S01012789,329,329,-,-,329,325,-,4,62,97,94,76,-,-,-
S01012790,298,298,-,-,298,289,1,8,99,23,30,145,1,-,-
S01012791,332,332,-,-,332,324,1,7,95,134,8,93,2,-,-
S01012792,510,510,-,-,510,496,1,13,14,109,113,264,10,-,-
S01012793,377,377,-,-,377,363,-,14,13,58,28,270,7,1,-
S01012794,419,419,-,-,419,378,2,39,3,28,15,371,1,1,-
S01012795,442,442,-,-,442,439,-,3,23,172,138,109,-,-,-
S01012796,353,353,-,-,353,347,-,6,21,141,105,78,1,7,-
S01012797,280,280,-,-,280,276,1,3,17,119,126,17,-,1,-
S01012798,347,347,-,-,347,329,-,18,140,49,19,123,16,-,-
S01012799,411,411,-,-,411,393,2,16,164,43,14,155,32,3,-
S01012800,421,421,-,-,421,398,7,16,203,30,16,150,17,5,-
S01012801,261,261,-,-,261,252,-,9,26,13,9,190,13,10,-
S01012802,207,207,-,-,207,207,-,-,190,8,3,4,1,1,-
S01012803,264,264,-,-,264,262,-,2,145,88,26,4,-,1,-
S01012804,360,360,-,-,360,351,1,8,50,114,188,8,-,-,-
S01012805,389,389,-,-,389,383,1,5,17,128,224,19,1,-,-
S01012806,306,306,-,-,306,299,-,7,82,29,178,12,5,-,-
S01012807,222,222,-,-,222,218,-,4,172,5,3,41,1,-,-
S01012808,503,503,-,-,503,475,-,28,172,40,114,166,10,1,-
S01012809,352,352,-,-,352,337,-,15,70,34,12,212,14,10,-
S01012810,496,496,-,-,496,481,1,14,47,31,63,343,9,3,-
S01012811,357,357,-,-,357,348,1,8,53,41,220,36,3,3,1
S01012812,285,285,-,-,285,285,-,-,61,31,128,64,1,-,-
S01012813,376,376,-,-,376,372,-,4,205,82,46,32,11,-,-
S01012814,340,340,-,-,340,333,5,2,134,141,50,15,-,-,-
S01012815,337,337,-,-,337,320,14,3,214,50,8,61,4,-,-
S01012816,232,232,-,-,232,229,-,3,56,71,64,40,1,-,-
S01012817,175,175,-,-,175,175,-,-,150,21,2,2,-,-,-
S01012818,274,274,-,-,274,271,1,2,183,21,59,10,1,-,-
S01012819,370,370,-,-,370,365,-,5,16,19,122,207,-,6,-
S01012820,443,443,-,-,443,370,1,72,222,79,124,13,4,-,1
S01012821,268,268,-,-,268,263,1,4,175,54,14,25,-,-,-
S01012822,260,260,-,-,260,256,-,4,13,12,11,220,2,2,-
S01012823,286,286,-,-,286,285,-,1,97,149,28,6,6,-,-
S01012824,278,278,-,-,278,273,-,5,49,35,137,57,-,-,-
S01012825,272,272,-,-,272,269,1,2,35,49,25,159,1,3,-
S01012826,231,231,-,-,231,231,-,-,19,136,19,54,1,2,-
S01012827,234,234,-,-,234,233,-,1,133,68,4,24,2,3,-
S01012828,264,264,-,-,264,254,-,10,95,29,93,43,2,2,-
S01012829,367,367,-,-,367,362,-,5,21,118,98,129,1,-,-
S01012830,322,322,-,-,322,313,-,9,67,110,8,136,-,1,-
S01012831,336,336,-,-,336,333,-,3,16,183,18,116,2,-,1
S01012832,219,219,-,-,219,215,3,1,24,111,73,10,1,-,-
S01012833,327,327,-,-,327,319,7,1,13,128,138,46,2,-,-
S01012834,297,297,-,-,297,289,-,8,33,107,24,129,4,-,-
S01012835,426,426,-,-,426,403,1,22,28,145,56,196,1,-,-
S01012836,221,221,-,-,221,220,-,1,159,25,31,3,2,1,-
S01012837,424,424,-,-,424,414,-,10,7,40,59,315,2,1,-
S01012838,531,531,-,-,531,528,-,3,7,49,29,446,-,-,-
S01012839,301,301,-,-,301,300,-,1,43,133,50,75,-,-,-
S01012840,286,286,-,-,286,285,-,1,183,44,8,51,-,-,-
S01012841,255,255,-,-,255,253,-,2,49,132,20,53,1,-,-
S01012842,203,203,-,-,203,198,4,1,39,64,71,17,11,-,1
S01012843,382,382,-,-,382,381,-,1,94,223,9,50,6,-,-
S01012844,256,256,-,-,256,249,-,7,58,158,6,8,26,-,-
S01012845,282,282,-,-,282,281,-,1,58,98,36,61,27,2,-
S01012846,571,571,-,-,571,543,2,26,16,70,8,465,-,12,-
S01012847,251,250,-,1,255,249,1,5,45,107,10,88,5,-,-
S01012848,284,284,-,-,284,283,-,1,58,140,36,46,4,-,-
S01012849,350,350,-,-,350,345,-,5,26,62,46,214,-,2,-
S01012850,344,344,-,-,344,339,-,5,3,92,137,111,-,-,1
S01012851,386,386,-,-,386,374,7,5,56,124,136,70,-,-,-
S01012852,302,302,-,-,302,298,1,3,31,157,35,77,2,-,-
S01012853,341,341,-,-,341,338,2,1,17,279,30,10,4,-,1
S01012854,376,376,-,-,376,374,-,2,7,59,56,244,10,-,-
S01012855,287,287,-,-,287,284,-,3,8,76,37,157,9,-,-
S01012856,437,437,-,-,437,414,-,23,9,40,47,340,1,-,-
S01012857,482,482,-,-,482,472,-,10,6,90,39,343,4,-,-
S01012858,427,427,-,-,427,422,-,5,4,41,32,348,-,1,1
S01012859,551,551,-,-,551,530,-,21,20,63,62,350,1,-,55
S01012860,390,390,-,-,390,382,1,7,40,78,78,187,6,-,1
S01012861,329,329,-,-,329,322,-,7,28,55,76,161,9,-,-
S01012862,389,389,-,-,389,369,-,20,3,8,17,350,2,9,-
S01012863,475,475,-,-,475,424,-,51,4,9,18,431,7,6,-
S01012864,479,479,-,-,479,469,-,10,5,2,13,455,1,2,1
S01012865,399,399,-,-,399,390,-,9,8,84,74,224,8,1,-
S01012866,378,378,-,-,378,374,-,4,16,65,68,226,2,1,-
S01012867,400,400,-,-,400,396,1,3,1,59,66,274,-,-,-
S01012868,336,335,1,-,337,321,-,16,2,23,8,301,3,-,-
S01012869,263,263,-,-,263,257,-,6,5,47,40,171,-,-,-
S01012870,454,454,-,-,454,450,-,4,47,114,197,96,-,-,-
S01012871,390,390,-,-,390,384,-,6,12,162,6,209,1,-,-
S01012872,328,328,-,-,328,318,-,10,5,21,10,292,-,-,-
S01012873,339,339,-,-,339,338,-,1,11,78,23,226,1,-,-
S01012874,384,383,1,-,385,383,-,2,19,63,109,194,-,-,-
S01012875,291,291,-,-,291,277,-,14,6,37,95,153,-,-,-
S01012876,381,381,-,-,381,371,-,10,6,81,128,166,-,-,-
S01012877,334,334,-,-,334,331,-,3,6,100,165,60,-,3,-
