,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01010083,349,349,-,-,349,348,-,1,5,53,215,76,-,-,-
S01010084,443,443,-,-,443,442,-,1,5,72,244,121,1,-,-
S01010085,314,314,-,-,314,311,-,3,25,220,58,11,-,-,-
S01010086,415,415,-,-,415,414,-,1,8,75,228,103,-,1,-
S01010087,252,252,-,-,252,247,-,5,20,224,6,2,-,-,-
S01010088,298,298,-,-,298,295,-,3,213,24,5,55,-,1,-
S01010089,371,371,-,-,371,365,-,6,28,66,26,241,1,9,-
S01010090,440,440,-,-,440,435,-,5,133,123,54,125,-,5,-
S01010091,369,369,-,-,369,343,-,26,135,77,27,125,4,1,-
S01010092,448,448,-,-,448,446,-,2,13,67,143,224,-,1,-
S01010093,394,394,-,-,394,386,-,8,8,116,68,199,2,-,1
S01010094,292,292,-,-,292,291,-,1,25,173,76,18,-,-,-
S01010095,284,284,-,-,284,279,1,4,21,187,70,6,-,-,-
S01010096,296,296,-,-,296,292,-,4,53,89,125,28,1,-,-
S01010097,293,293,-,-,293,286,-,7,24,226,18,24,1,-,-
S01010098,279,279,-,-,279,277,1,1,9,226,39,4,1,-,-
S01010099,290,290,-,-,290,285,-,5,39,228,17,6,-,-,-
S01010100,388,388,-,-,388,382,-,6,127,224,9,27,-,1,-
S01010101,304,304,-,-,304,299,1,4,105,142,36,21,-,-,-
S01010102,327,327,-,-,327,324,1,2,109,138,63,17,-,-,-
S01010103,364,364,-,-,364,355,3,6,84,200,60,17,1,2,-
S01010104,273,273,-,-,273,267,-,6,64,115,68,26,-,-,-
S01010105,171,170,1,-,172,165,-,7,5,52,21,94,-,-,-
S01010106,224,223,1,-,225,219,-,6,2,71,35,117,-,-,-
S01010107,413,413,-,-,413,404,-,9,6,25,37,343,2,-,-
S01010108,380,380,-,-,380,374,1,5,2,58,190,127,2,1,-
S01010109,355,355,-,-,355,326,2,27,60,32,15,240,8,-,-
S01010110,438,438,-,-,438,431,1,6,8,96,25,309,-,-,-
S01010111,452,452,-,-,452,446,-,6,12,99,63,271,6,1,-
S01010112,421,421,-,-,421,419,-,2,13,145,51,212,-,-,-
S01010113,254,254,-,-,254,244,-,10,1,10,16,227,-,-,-
